item_id,domain,topic,stem,choice_A,choice_B,choice_C,choice_D,key,rationale,combined,rasch_b,pvalue,point_biserial,enemy,status
NCX0001,Basic Care & Comfort,mobility assistance,"On a medical-surgical floor, a client with mobility assistance has intake < output for 24 hours and dry mucous membranes. Which intervention should the nurse implement first?",Encourage early mobilization when safe,Delegate initial assessment to unlicensed staff,Document and reassess later without intervening,Encourage rest and postpone evaluation,A,The correct action for mobility assistance reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,on a medical surgical floor a client with mobility assistance has intake output for 24 hours and dry mucous membranes which intervention should the nurse implement first encourage early mobilization when safe delegate initial assessment to unlicensed staff document and reassess later without intervening encourage rest and postpone evaluation,-0.1412926002298533,0.5325714285714286,0.4292816156619836,,active
NCX0002,Basic Care & Comfort,elimination,"A client with elimination suddenly exhibits restlessness. Vitals: BP 107/58, HR 135, RR 31, SpO2 85. Which action should the nurse take first?",Provide privacy and timely toileting,Offer detailed education before stabilizing the client,Delegate initial assessment to unlicensed staff,Apply restraints without trying alternatives,A,The correct action for elimination reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client with elimination suddenly exhibits restlessness vitals bp 107 58 hr 135 rr 31 spo2 85 which action should the nurse take first provide privacy and timely toileting offer detailed education before stabilizing the client delegate initial assessment to unlicensed staff apply restraints without trying alternatives,1.129706761712345,0.2717142857142857,0.3624760533967289,,active
NCX0003,Basic Care & Comfort,sleep promotion,Which task related to sleep promotion is appropriate to delegate to an experienced UAP?,Offer detailed education before stabilizing the client,Increase oral fluids without assessing contraindications,Document and reassess later without intervening,Limit caffeine intake late in the day,D,The correct action for sleep promotion reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which task related to sleep promotion is appropriate to delegate to an experienced uap offer detailed education before stabilizing the client increase oral fluids without assessing contraindications document and reassess later without intervening limit caffeine intake late in the day,-1.155090585931516,0.7285714285714285,0.3776087526670439,,active
NCX0004,Basic Care & Comfort,elimination,A 40-year-old client hospitalized for elimination is confused and tries to get out of bed unassisted at night. Which intervention should the nurse implement to ensure safety?,Prevent constipation with fluids and fiber when appropriate,Offer detailed education before stabilizing the client,Ignore abnormal values if the client feels fine,Delegate initial assessment to unlicensed staff,A,The correct action for elimination reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a 40 year old client hospitalized for elimination is confused and tries to get out of bed unassisted at night which intervention should the nurse implement to ensure safety prevent constipation with fluids and fiber when appropriate offer detailed education before stabilizing the client ignore abnormal values if the client feels fine delegate initial assessment to unlicensed staff,-1.254114651334696,0.7358571428571429,0.3817729142002798,,active
NCX0005,Basic Care & Comfort,elimination,"During shift handoff, a client with elimination is on multiple medications. Vitals: BP 139/54, HR 54. Which medication-related action should the nurse take first?",Apply restraints without trying alternatives,Position the client supine regardless of condition,Encourage rest and postpone evaluation,Prevent constipation with fluids and fiber when appropriate,D,The correct action for elimination reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,during shift handoff a client with elimination is on multiple medications vitals bp 139 54 hr 54 which medication related action should the nurse take first apply restraints without trying alternatives position the client supine regardless of condition encourage rest and postpone evaluation prevent constipation with fluids and fiber when appropriate,-0.547116440651105,0.6132857142857143,0.4171926020436342,,active
NCX0006,Basic Care & Comfort,pain management,The nurse reinforces teaching about pain management. Which client statement shows understanding?,Administer prescribed analgesics promptly,Increase oral fluids without assessing contraindications,Document and reassess later without intervening,Delegate initial assessment to unlicensed staff,A,The correct action for pain management reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,the nurse reinforces teaching about pain management which client statement shows understanding administer prescribed analgesics promptly increase oral fluids without assessing contraindications document and reassess later without intervening delegate initial assessment to unlicensed staff,-1.553826946534061,0.7881428571428571,0.3365153016129327,,active
NCX0007,Basic Care & Comfort,sleep promotion,A client with sleep promotion has pressure injury risk factors. Which preventive action is most important to implement first?,Ignore abnormal values if the client feels fine,Limit caffeine intake late in the day,Provide comfort measures only,Encourage rest and postpone evaluation,B,The correct action for sleep promotion reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,a client with sleep promotion has pressure injury risk factors which preventive action is most important to implement first ignore abnormal values if the client feels fine limit caffeine intake late in the day provide comfort measures only encourage rest and postpone evaluation,-2.258845882152554,0.872,0.2924551209105986,,draft
NCX0008,Basic Care & Comfort,temperature regulation,Which instruction prevents complication related to temperature regulation?,Administer antipyretics as prescribed,Increase oral fluids without assessing contraindications,Position the client supine regardless of condition,Document and reassess later without intervening,A,The correct action for temperature regulation reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which instruction prevents complication related to temperature regulation administer antipyretics as prescribed increase oral fluids without assessing contraindications position the client supine regardless of condition document and reassess later without intervening,-1.179481042436764,0.7232857142857143,0.3632006078640122,,active
NCX0009,Basic Care & Comfort,sleep promotion,Which order should the nurse question for a client with sleep promotion?,Encourage rest and postpone evaluation,Provide comfort measures only,Promote a consistent sleep routine,Wait for provider rounds before acting,C,The correct action for sleep promotion reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which order should the nurse question for a client with sleep promotion encourage rest and postpone evaluation provide comfort measures only promote a consistent sleep routine wait for provider rounds before acting,0.3563719074321675,0.427,0.4149125350841525,{NCX0087},active
NCX0010,Basic Care & Comfort,elimination,Which PPE sequence is correct when caring for a client with elimination?,Monitor I&O carefully,Provide comfort measures only,Delegate initial assessment to unlicensed staff,Document and reassess later without intervening,A,The correct action for elimination reflects NCLEX priorities and evidence-based practice for Basic Care & Comfort.,which ppe sequence is correct when caring for a client with elimination monitor i o carefully provide comfort measures only delegate initial assessment to unlicensed staff document and reassess later without intervening,0.0668685372473838,0.4795714285714286,0.4141175597589504,{NCX0199},active
