Item_ID,Item_Type,Difficulty,Step_Difficulties,Label
Item_001,Dichotomous,0.4967,,Dichotomous Item 1 (b = 0.50)
Item_002,Dichotomous,-0.1383,,Dichotomous Item 2 (b = -0.14)
Item_003,Dichotomous,0.6477,,Dichotomous Item 3 (b = 0.65)
Item_004,Dichotomous,1.523,,Dichotomous Item 4 (b = 1.52)
Item_005,Dichotomous,-0.2342,,Dichotomous Item 5 (b = -0.23)
Item_006,Dichotomous,-0.2341,,Dichotomous Item 6 (b = -0.23)
Item_007,Dichotomous,1.5792,,Dichotomous Item 7 (b = 1.58)
Item_008,Dichotomous,0.7674,,Dichotomous Item 8 (b = 0.77)
Item_009,Dichotomous,-0.4695,,Dichotomous Item 9 (b = -0.47)
Item_010,Dichotomous,0.5426,,Dichotomous Item 10 (b = 0.54)
Item_011,Dichotomous,-0.4634,,Dichotomous Item 11 (b = -0.46)
Item_012,Dichotomous,-0.4657,,Dichotomous Item 12 (b = -0.47)
Item_013,Dichotomous,0.242,,Dichotomous Item 13 (b = 0.24)
Item_014,Dichotomous,-1.9133,,Dichotomous Item 14 (b = -1.91)
Item_015,Dichotomous,-1.7249,,Dichotomous Item 15 (b = -1.72)
Item_016,Dichotomous,-0.5623,,Dichotomous Item 16 (b = -0.56)
Item_017,Dichotomous,-1.0128,,Dichotomous Item 17 (b = -1.01)
Item_018,Dichotomous,0.3142,,Dichotomous Item 18 (b = 0.31)
Item_019,Dichotomous,-0.908,,Dichotomous Item 19 (b = -0.91)
Item_020,Dichotomous,-1.4123,,Dichotomous Item 20 (b = -1.41)
Item_021,Dichotomous,1.4656,,Dichotomous Item 21 (b = 1.47)
Item_022,Dichotomous,-0.2258,,Dichotomous Item 22 (b = -0.23)
Item_023,Dichotomous,0.0675,,Dichotomous Item 23 (b = 0.07)
Item_024,Dichotomous,-1.4247,,Dichotomous Item 24 (b = -1.42)
Item_025,Dichotomous,-0.5444,,Dichotomous Item 25 (b = -0.54)
Item_026,Dichotomous,0.1109,,Dichotomous Item 26 (b = 0.11)
Item_027,Dichotomous,-1.151,,Dichotomous Item 27 (b = -1.15)
Item_028,Dichotomous,0.3757,,Dichotomous Item 28 (b = 0.38)
Item_029,Dichotomous,-0.6006,,Dichotomous Item 29 (b = -0.60)
Item_030,Dichotomous,-0.2917,,Dichotomous Item 30 (b = -0.29)
Item_031,Dichotomous,-0.6017,,Dichotomous Item 31 (b = -0.60)
Item_032,Dichotomous,1.8523,,Dichotomous Item 32 (b = 1.85)
Item_033,Dichotomous,-0.0135,,Dichotomous Item 33 (b = -0.01)
Item_034,Dichotomous,-1.0577,,Dichotomous Item 34 (b = -1.06)
Item_035,Dichotomous,0.8225,,Dichotomous Item 35 (b = 0.82)
Item_036,Dichotomous,-1.2208,,Dichotomous Item 36 (b = -1.22)
Item_037,Dichotomous,0.2089,,Dichotomous Item 37 (b = 0.21)
Item_038,Dichotomous,-1.9597,,Dichotomous Item 38 (b = -1.96)
Item_039,Dichotomous,-1.3282,,Dichotomous Item 39 (b = -1.33)
Item_040,Dichotomous,0.1969,,Dichotomous Item 40 (b = 0.20)
Item_041,Dichotomous,0.7385,,Dichotomous Item 41 (b = 0.74)
Item_042,Dichotomous,0.1714,,Dichotomous Item 42 (b = 0.17)
Item_043,Dichotomous,-0.1156,,Dichotomous Item 43 (b = -0.12)
Item_044,Dichotomous,-0.3011,,Dichotomous Item 44 (b = -0.30)
Item_045,Dichotomous,-1.4785,,Dichotomous Item 45 (b = -1.48)
Item_046,Dichotomous,-0.7198,,Dichotomous Item 46 (b = -0.72)
