ItemID,Domain,Pvalue,PBS,RaschB,Enemy
ITEM001,Cardiology,0.65,0.35,-0.52,"ITEM002,ITEM010"
ITEM002,Cardiology,0.72,0.42,-0.28,ITEM001
ITEM003,Cardiology,0.58,0.38,-0.84,
ITEM004,Cardiology,0.68,0.41,-0.38,ITEM005
ITEM005,Cardiology,0.75,0.45,-0.15,ITEM004
ITEM006,Cardiology,0.62,0.33,-0.68,
ITEM007,Cardiology,0.70,0.40,-0.32,
ITEM008,Cardiology,0.66,0.37,-0.46,
ITEM009,Cardiology,0.73,0.43,-0.22,
ITEM010,Cardiology,0.64,0.36,-0.58,ITEM001
ITEM011,Neurology,0.55,0.32,-1.05,ITEM012
ITEM012,Neurology,0.60,0.34,-0.78,ITEM011
ITEM013,Neurology,0.67,0.39,-0.42,
ITEM014,Neurology,0.71,0.41,-0.30,
ITEM015,Neurology,0.63,0.35,-0.62,
ITEM016,Neurology,0.69,0.40,-0.35,
ITEM017,Neurology,0.74,0.44,-0.18,ITEM018
ITEM018,Neurology,0.66,0.37,-0.46,ITEM017
ITEM019,Neurology,0.61,0.33,-0.72,
ITEM020,Neurology,0.68,0.38,-0.40,
ITEM021,Respiratory,0.57,0.31,-0.92,
ITEM022,Respiratory,0.64,0.36,-0.58,ITEM023
ITEM023,Respiratory,0.70,0.41,-0.32,ITEM022
ITEM024,Respiratory,0.66,0.37,-0.46,
ITEM025,Respiratory,0.72,0.42,-0.26,
ITEM026,Respiratory,0.59,0.33,-0.82,
ITEM027,Respiratory,0.67,0.39,-0.42,
ITEM028,Respiratory,0.73,0.43,-0.22,
ITEM029,Respiratory,0.65,0.36,-0.54,
ITEM030,Respiratory,0.69,0.40,-0.36,
ITEM031,Endocrine,0.62,0.34,-0.68,
ITEM032,Endocrine,0.68,0.38,-0.40,ITEM033
ITEM033,Endocrine,0.74,0.44,-0.18,ITEM032
ITEM034,Endocrine,0.60,0.33,-0.78,
ITEM035,Endocrine,0.71,0.42,-0.28,
ITEM036,Endocrine,0.66,0.37,-0.48,
ITEM037,Endocrine,0.69,0.40,-0.34,
ITEM038,Endocrine,0.63,0.35,-0.64,
ITEM039,Endocrine,0.72,0.43,-0.24,
ITEM040,Endocrine,0.67,0.38,-0.42,
ITEM041,Gastrointestinal,0.61,0.33,-0.74,
ITEM042,Gastrointestinal,0.68,0.39,-0.38,
ITEM043,Gastrointestinal,0.73,0.43,-0.22,ITEM044
ITEM044,Gastrointestinal,0.65,0.36,-0.56,ITEM043
ITEM045,Gastrointestinal,0.70,0.41,-0.30,
ITEM046,Gastrointestinal,0.64,0.35,-0.60,
ITEM047,Gastrointestinal,0.69,0.40,-0.34,
ITEM048,Gastrointestinal,0.72,0.42,-0.26,
ITEM049,Gastrointestinal,0.66,0.37,-0.48,
ITEM050,Gastrointestinal,0.71,0.41,-0.30,
ITEM051,Renal,0.58,0.32,-0.88,
ITEM052,Renal,0.65,0.36,-0.54,ITEM053
ITEM053,Renal,0.71,0.42,-0.28,ITEM052
ITEM054,Renal,0.63,0.34,-0.66,
ITEM055,Renal,0.69,0.39,-0.38,
ITEM056,Renal,0.74,0.44,-0.18,
ITEM057,Renal,0.67,0.38,-0.42,
ITEM058,Renal,0.72,0.43,-0.24,
ITEM059,Renal,0.64,0.35,-0.60,
ITEM060,Renal,0.70,0.41,-0.32,
ITEM061,Hematology,0.60,0.33,-0.78,
ITEM062,Hematology,0.67,0.38,-0.44,
ITEM063,Hematology,0.73,0.43,-0.22,
ITEM064,Hematology,0.65,0.36,-0.56,ITEM065
ITEM065,Hematology,0.71,0.42,-0.28,ITEM064
ITEM066,Hematology,0.63,0.34,-0.66,
ITEM067,Hematology,0.69,0.40,-0.34,
ITEM068,Hematology,0.74,0.44,-0.16,
ITEM069,Hematology,0.66,0.37,-0.48,
ITEM070,Hematology,0.72,0.42,-0.26,
ITEM071,Immunology,0.59,0.32,-0.84,
ITEM072,Immunology,0.66,0.37,-0.48,
ITEM073,Immunology,0.72,0.42,-0.26,ITEM074
ITEM074,Immunology,0.64,0.35,-0.60,ITEM073
ITEM075,Immunology,0.70,0.41,-0.32,
ITEM076,Immunology,0.68,0.39,-0.38,
ITEM077,Immunology,0.73,0.43,-0.22,
ITEM078,Immunology,0.65,0.36,-0.56,
ITEM079,Immunology,0.71,0.42,-0.28,
ITEM080,Immunology,0.67,0.38,-0.44,
ITEM081,Oncology,0.56,0.31,-0.98,
ITEM082,Oncology,0.63,0.34,-0.66,ITEM083
ITEM083,Oncology,0.70,0.41,-0.30,ITEM082
ITEM084,Oncology,0.66,0.37,-0.48,
ITEM085,Oncology,0.72,0.43,-0.24,
ITEM086,Oncology,0.61,0.33,-0.76,
ITEM087,Oncology,0.68,0.39,-0.40,
ITEM088,Oncology,0.74,0.44,-0.18,
ITEM089,Oncology,0.65,0.36,-0.54,
ITEM090,Oncology,0.71,0.42,-0.28,
ITEM091,Infectious,0.62,0.34,-0.70,
ITEM092,Infectious,0.69,0.40,-0.34,
ITEM093,Infectious,0.73,0.43,-0.22,ITEM094
ITEM094,Infectious,0.66,0.37,-0.46,ITEM093
ITEM095,Infectious,0.71,0.42,-0.28,
ITEM096,Infectious,0.64,0.35,-0.62,
ITEM097,Infectious,0.70,0.41,-0.30,
ITEM098,Infectious,0.67,0.38,-0.42,
ITEM099,Infectious,0.72,0.43,-0.24,
ITEM100,Infectious,0.68,0.39,-0.38,
